Word-Expression,English,Arabic,Kurdish
Authentication ,,,
,,,
Login,Log in,تسجيل دخول,چوونەژوورەوە
Login and unlock your next ride,Log in to find your perfect car,قم بتسجيل الدخول للعثور على سيارتك المثالية,بۆ دۆزینەوەی ئۆتۆمبێلە تەواوەکەت بچۆرە ژوورەوە
Don't have account?,Don’t have an account?,ليس لديك حساب؟,هەژمارت نییە؟
Sign up,Sign up,قم بالتسجيل,بەشداری بکە
Enter code,Enter code,ادخل الرمز,کۆدەکە داخڵ بکە 
A one time password has been sent to your whatsApp,A one time password has been sent to your WhatsApp.,تم إرسال كلمة المرور لمرة واحدة إلى الواتساب الخاص بك.,وشەی نهێنی یەکجارەکی بۆ واتساپەکەت نێردراوە.
Resend on WhatsApp,Resend on Whatsapp,إعادة الإرسال على الواتساب,دووبارە بنێرە لە واتساپ
Resend as SMS,Resend as SMS,إعادة الإرسال كرسالة SMS,دووبارە بە SMS بنێرە
One step away from your perfect drive.,One step away from your perfect car.,على بعد خطوة من سيارتك المثالية,هەنگاوێک لە ئۆتۆمبێلە تەواوەکەت دوورە
Already have an account?,Already have an account?,لديك حساب بالفعل؟,هەژمارت هەیە؟ 
"By clicking sign up, you agree to the Terms and Conditions ","By clicking sign up, you agree to the Terms and Conditions ",بالضغط على تسجيل فإنك توافق على الأحكام والشروط,بە کرتەکردن لەسەر تۆمارکردن تۆ ڕەزامەندیت لەسەر مەرج و ڕێساکان.
and confirm you have read our Privacy policy,and confirm you have read our Privacy policy,وتأكد من أنك قرأت سياسة الخصوصية الخاصة بنا,و پشتڕاستی بکەرەوە کە سیاسەتی پاراستنی نهێنی ئێمەت خوێندووەتەوە
Account type,Account type,نوع الحساب,جۆری ئەکاونت
Personal,Personal,شخصي,کەسی
Dealer,Dealer,تاجر,بازرگان
Brand,Brand,وكالة,بريكار
Basic details,Basic details,التفاصيل الأساسية,وردەکارییە بنەڕەتییەکان
Address,Address,العنوان,ناونیشان 
Submit,Submit,تقديم ,پێشکەشکردن
Select your business focus,Select your business focus,اختر مجال عملك,بوارى کارەکەت هەڵبژێرە
Cars,Cars,سيارات ,ئۆتۆمبێل
Spares,Spares,قطع غيار,پارچەی یەدەگ
Both,Both,كلاهما,هەردووک
A one time password has been sent to your email.,A one time password has been sent to your email.,لقد تم إرسال كلمة مرور لمرة واحدة إلى بريدك الإلكتروني.,وشەی نهێنی یەکجارەکی بۆ ئیمەیڵەکەت نێردراوە.
A one time password has been sent to your Phone number ,A one time password has been sent to your phone number ,لقد تم إرسال كلمة مرور لمرة واحدة إلى رقم هاتفك,وشەی نهێنی یەکجارەکی بۆ ژمارەی تەلەفۆنەکەت نێردراوە
Date of birth,Date of birth,تاريخ الميلاد,بەرواری لەدایکبوون
Continue,Continue,استمر,بەردەوام بە 
Dealership details,Dealership details,تفاصيل المعرض,وردەکاری پێشانگاکە
Dealership phone number,Dealership phone number,رقم هاتف المعرض,ژمارەی تەلەفۆنی پێشانگاکە
Service provider,Sales agent,وكيل المبيعات,بریکاری فرۆشتن
Web or social media ,Website or social media ,الموقع الإلكتروني أو وسائل التواصل الاجتماعي,ماڵپەڕ یان سۆشیال میدیا
Working hours,Working hours,ساعات العمل,کاتەکانی کارکردن
About your dealership,About your dealership,حول معرضك,نزیکەی پێشانگاکە
Upload dealership KYC documents,Upload dealership KYC documents,تحميل ملفات اعرف عميلك (KYC) الخاصة بالمعرض,فایلەکانی کڕیارەکەت بناسە (KYC)ی پێشانگاکە باربکە
working hours,Working hours,ساعات العمل,کاتەکانی کارکردن
Sunday,Sunday,الأحد,یەک شەممە 
Monday,Monday,الاثنين,دووشەممە
Tuesday,Tuesday,الثلاثاء,سێ شەممە 
Wednesday,Wednesday,الأربعاء,چوار شەممە 
Thursday,Thursday,الخميس,پێنج شەممە 
Friday,Friday,الجمعة,هەینی 
Saturday,Saturday,السبت,شەممە 
Dealership KYC documents,Dealership KYC documents,ملفات اعرف عميلك (KYC) الخاصة بالمعرض,پێشانگا فایلەکانی کڕیارەکەت بناسە (KYC).
Manager’s full name,Manager's name,اسم المدير,ناوی بەڕێوەبەر
Brand details,Brand details,تفاصيل الوكالة,وردەکارییەکانی بریکارەکە
Brand name,Brand name,أسم الوكالة,ناوی بریکار
Brand phone number,Brand phone number,رقم هاتف الوكالة,ژمارەی تەلەفۆنی بریکارەکە
Sales agent ,Sales agent,وكيل المبيعات,بریکاری فرۆشتن
Web or social media ,Website or social media ,الموقع الإلكتروني أو وسائل التواصل الاجتماعي,ماڵپەڕ یان سۆشیال میدیا
Upload brand KYC documents,Upload brand KYC documents,تحميل ملفات اعرف عميلك (KYC) الخاصة بالوكالة,فایلەکانی کڕیارەکەت بناسە (KYC). بریکارەکە دابەزێنە
Click to download or drag and drop,Click to upload or drag and drop,اضغط للتحميل أو السحب والإفلات,بۆ بارکردن یان ڕاکێشان و دابەزاندن کلیک بکە
Brand KYC documents,Brand KYC documents,ملفات اعرف عميلك (KYC) الخاصة بالوكالة,فایلەکانی دەزگای کڕیارەکەت بناسە (KYC).
About your brand,About your brand,معلومات عن الوكالة,زانیاری دەربارەی بریکارەکە
,,,
,,,
,,,
,,,
,,,
car details,,,
,,,
Basic,Basic details,التفاصيل الأساسية,وردەکارییە بنەڕەتییەکان
Features,Features,المميزات,تایبەتمەندییەکان
Specifications,Specifications,المواصفات,تایبەتمەندییەکان
Rating,Rating,التقييم,هەڵسەنگاندن
Mark as sold,Mark sold,تم البيع,فڕۆشرا 
Make,Make,الشركة,کۆمپانیا
Model,Model,الموديل,مۆدێل
Model variant,Model variant,الفئة,جۆر
Make year,Make Year,سنة الصنع,ساڵی بەرهەمهێنان
Kilometers,Kilometres,عدد الكيلومترات ,کیلۆمەترەکان
Gearbox,Gearbox,ناقل الحركة,گێڕ 
Fuel type,Fuel type,نوع الوقود,جۆری سووتەمەنی
Body type,Body type,نوع الهيكل,جۆری بۆدی 
Car import,Car import,وارد السيارة,هاوردەکردنی ئۆتۆمبێل
Condition & Paint,Condition & paint,حالة الهيكل والطلاء,باری جەستە و بۆیاخ
Exterior color,Exterior colour,اللون الخارجي,ڕەنگی دەرەوە
Interior color,Interior colour,اللون الداخلي,ڕەنگی ناوەوە
Doors,Doors,الأبواب,دەرگاکان
Seats,Seats,المقاعد,کورسییەکان
Seat material,Seat material,مادة المقعد,کەرەستەی کورسی
Plate type,Plate type,نوع الرقم,جۆری ژمارە
Audio and Communication,Audio and communication,الصوت والاتصالات,دەنگ و پەیوەندییەکان
Driver Assistance ,Driver assistance,مساعدة السائق,هاوکاری شۆفێر
Exterior features,Exterior features,الميزات الخارجية,تایبەتمەندی دەرەکی
Interior features,Interior features,الميزات الداخلية,تایبەتمەندیەکانی ناوەوە
Illumination,Illumination,الإضاءة,ڕووناکی
Performance,Performance,الأداء,ئەدا
Engine & mechanics,Engine and performance,المحرك والأداء,بزوێنەر و کارایی
Dimensions & capacity,Dimensions and capacity,الأبعاد والسعة,ڕەهەند و توانا
Battery & charging ,Battery and charging,البطارية والشحن,پاتری و شەحنکردنەوە
Delete your ad,Delete your ad,حذف إعلانك,ڕیکلامەکەت بسڕەوە
Are you sure you want to delete this ad? This process can not be undone,Are you sure you want to delete this ad? This process cannot be undone,هل أنت متأكد من رغبتك في حذف هذا الإعلان؟ لا يمكن التراجع عن هذه العملية.,دڵنیای کە دەتەوێت ئەم ڕێکلامە بسڕیتەوە؟ ئەم پرۆسەیە ناتوانرێت هەڵبوەشێتەوە
Delete,Delete,حذف,سڕینەوە
cancel,Cancel,إلغاء,هەڵوەشاندنەوە
Renew the ad,Renew ad,تجديد الإعلان,ڕیکلامەکە نوێ بکەرەوە
Performance,Performance,الأداء,ئەدا
Engine size,Engine size ,حجم المحرك,قەبارەی بزوێنەر
Engine power,Engine power ,قوة المحرك,هێزی بزوێنەر
Engine torque,Engine torque,عزم المحرك,هێزی بزوێنەر
Acceleration (0 to 100 ),Acceleration (0 to 100),التسارع (من 0 إلى 100),خێرایی (0 بۆ 100)
Top speed,Top speed,السرعة القصوى,زۆرترین خێرایی
Cylinders,Cylinders,سلندرات,سلندەرەکان
Fuel tank capacity ,Fuel tank capacity,سعة خزان الوقود,توانای تانکی سووتەمەنی
Gross vehicle weight,Gross vehicle weight,وزن السيارة الإجمالي,کێشی گشتی ئۆتۆمبێل
Minimum kerb weight,Minimum kerb weight,الوزن الأدنى للسيارة,کەمترین کێشی ئۆتۆمبێلەکە
Max loading weight,Max loading weight,أقصى وزن التحميل,زۆرترین کێشی بارکردن
Boot space,Boot space,مساحة صندوق الأمتعة,فەزای سندوقی ئۆتۆمبێل
Height,Height,الارتفاع,بەرزی
Width,Width,العرض,پانی
Length,Length,الطول,دڕێژەی 
Wheelbase,Wheelbase,قاعدة العجلات,ویلبەیس
Capacity,Capacity,السعة,توانا
Range,Range,المدى,ڕێژە
Energy consumption,Energy consumption,استهلاك الطاقة,بەکارهێنانی وزە
Battery type,Battery type,نوع البطارية,جۆری پاتری
What kind of account are you creating ?,What type of account are you creating?,ما نوع الحساب الذي تقوم بإنشائه؟,چ جۆرە ئەکاونتێک دروست دەکەیت؟
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Baz,,,
,,,
Smart Search,Smart search,البحث الذكي,گەڕانی زیرەک
"Enter your budget, make, or model, and Baz quickly finds the cars that match your needs ","Enter your budget, make, and model, and Baz will identify the most suitable cars for you.",أدخل ميزانيتك والشركة والموديل، وسيقوم باز بتحديد أنسب السيارات لك.,بودجە و کۆمپانیا و مۆدێلەکەت بنووسە و کۆمپانیای باز گونجاوترین ئۆتۆمبێلەکانت بۆ دیاری دەکات.
Quick Comparison,Quick comparison,مقارنة سريعة,بەراوردکردنی خێرا
Compare multiple cars side-by-side and see the key differences instantly,Compare cars side by side and view key differences instantly.,قم بمقارنة السيارات جنبًا إلى جنب واطلع على الاختلافات الرئيسية على الفور.,بەراوردکردنی ئۆتۆمبێلەکان شان بە شانی یەکتر و بینینی جیاوازییە سەرەکییەکان لە یەک کاتدا.
Market Insights,Market insights,تحليلات السوق,شیکاری بازاڕ
Get updates on average prices and availability so you know if you’re getting a good deal.,Stay informed on market prices and availability so you can secure the right deal.,ابق على اطلاع على أسعار السوق ومدى توفرها حتى تتمكن من تأمين الصفقة الصحيحة.,ئاگاداربە لە نرخی بازاڕ و بەردەستبوونی تا بتوانیت گرێبەستی دروست مسۆگەر بکەیت.
Ask Baz anything!,Ask Baz anything!,اسأل باز أي شيء!,هەر شتێک لە باز بپرسە!
,,,
,,,
Sell Car,,,
,,,
Sell your car,Sell your car,بيع سيارتك,ئۆتۆمبێلەکەت بفرۆشە
You can write it or photograph it and we will take care of the rest.,"Write it or photograph it, and we will handle the rest.",اكتبه أو قم بتصويره، وسنتولى الباقي.,تایپی بکە یان وێنەی بگرە، ئەوەی تریش دەیکەین.
Chassis number (VIN),Chassis number (VIN),رقم الشاصي ,ژمارەی شاسی
Search VIN number,Search VIN number,ابحث عن رقم الشاصي,بگەڕێ بەدوای ژمارەی شاسی
Proceed without VIN number,Proceed without VIN number,تابع بدون رقم الشاصي,بەردەوام بە بەبێ ژمارەی شاسی
How to find the VIN?,How to find the VIN?,كيف تجد رقم الشاصي؟,چۆن ژمارەی شاسی دەدۆزیتەوە؟
Behind the windshield from the driver’s side,Behind the windshield from the driver’s side,خلف الزجاج الأمامي من جانب السائق,لە پشت جامی ئۆتۆمبێلەوە لە لای شۆفێر
On the driver’s door frame,On the driver’s door frame,على إطار باب السائق,لەسەر چوارچێوەی دەرگای شۆفێرەکە
You must confirm your phone number to be able to publish your ad.,Verify your phone number to publish your ad.,قم بتأكيد رقم هاتفك لنشر إعلانك.,ژمارەی تەلەفۆنەکەت پشتڕاست بکەرەوە بۆ بڵاوکردنەوەی ڕیکلامەکەت.
Verify now,Verify now,أكد الآن,تاکید بکە
pictures,Pictures,الصور,وێنە
car detalis,Car details,تفاصيل السيارة,وردەکاری ئۆتۆمبێل
Payment,Payment,الدفع,پارەدان
Main photo to the car,Main photo of the car,الصورة الرئيسية للسيارة,وێنەی سەرەکی ئۆتۆمبێلەکە
Photo 2,Photo 2,الصورة 2,وێنەی 2
Photo 3,Photo 3,الصورة 3,وێنەی 3
Photo 4,Photo 4,الصورة 4,وێنەی 4
more photos,More photos,المزيد من الصور,وێنەی زیاتر
You must uploade at least 4 images,You must upload at least 4 photos of the car,يجب ان تحمل 4 صور للسيارة على الأقل,پێویستە بەلایەنی کەمەوە ٤ وێنەی ئۆتۆمبێلەکە باربکەیت.
Video of the car  (if available),Video of the car  (if available),فيديو للسيارة (إن وجد),ڤیدیۆی ئۆتۆمبێلەکە (ئەگەر هەبێت)
Next,Next,التالي,داهاتوو
Back,Back,السابق,پێشووتر
"Upload your car images and let Ako Sayara AI simplify your car posting process","Upload your car photos and let Ako Sayara AI simplify your car posting process
",قم بتحميل صور سيارتك ودع اكو سيارة AI يبسط عملية نشر سيارتك,وێنەی ئۆتۆمبێلەکەت باربکە و با ئەکو سەیارە AI پرۆسەی پۆستکردنی ئۆتۆمبێلەکەت ئاسان بکات
Search for a model,Search models,البحث في الموديلات,مۆدێلی گەڕان
Search for a model variant ,Search model variants,البحث في الفئات,گەڕان بەدوای تریمەکاندا
Car description,Car description,وصف السيارة,وەسفکردنی ئۆتۆمبێل
Plate Type,Plate type,نوع الرقم,جۆری ژمارە
Price,Price,السعر,نرخ
Price $,Price $,السعر $,نرخ $
Price in IQD,Price IQD,السعر بالدينار العراقي,نرخی IQD
Finance ,Finance,أقساط ,قيست
No,No,لا,نەخێر
Yes,Yes,نعم,بەڵێ
Ad label,Ad label,ملصق إعلاني,پۆستەری ڕیکلام
Full option,Full option,كامل المواصفات,تایبەتمەندییە تەواوەکان
Brand new label,Brand new,الموديل الحديث,مۆدێلی تازە
New price,New price,السعر الجديد,نرخی نوێ
Brand warranty,Brand warranty,ضمان الوكالة,گەرەنتی بریکارەکە
Choose plan ,Choose plan,اختر الاشتراك,سەبسکرایبکردن هەڵبژێرە
Show your ad everywhere,Show your ad everywhere,اعرض إعلانك في كل مكان,لە هەموو شوێنێک ڕیکلامەکەت پیشان بدە
Would you like to boost your ad?,Would you like to boost your ad?,هل ترغب في ترويج إعلانك؟,دەتەوێت بانگەشە بۆ ڕیکلامەکەت بکەیت؟
You will get,You will get,سوف تحصل على,بەدەست دەهێنیت
7 Day,7 Days,7 أيام,7 ڕۆژ
14 Day,14 Days,14 يوم,14 ڕۆژ
30 Day,30 Days,30 يوم,30 ڕۆژ
Promotes your advert inside the Ako Sayara app,Boosts your advert inside the Ako Sayara app,روج إعلانك داخل تطبيق اكو سيارة,ڕیکلامەکەت بەرز بکە لە ناو ئەپڵیکەیشنی ئەکو سەیارە
Push it to the top of search results for more visibility,Push your advert to the top of search results for greater visibility.,ادفع إعلانك إلى أعلى نتائج البحث لتحقيق رؤية أكبر.,ڕێکلامەکەت پاڵ بنێ بۆ سەرەوەی ئەنجامی گەڕان بۆ بینینی زیاتر.
Would you like to promote your ad on Social media?,Would you like to boost your ad on Social media?,هل ترغب في الترويج لإعلانك على وسائل التواصل الاجتماعي؟,حەز دەکەیت ڕیکلامەکەت لە سۆشیال میدیا بانگەشە بکەیت؟
Promotes your advert on social media platforms,Boost your advert on social media channels,روج إعلانك على قنوات التواصل الاجتماعي,ڕیکلامەکەت بەرز بکە لەسەر کەنالەکانی تۆڕە کۆمەڵایەتی
Reach a wider audience beyond the app,Reach a wider audience beyond the app,الوصول إلى جمهور أوسع خارج التطبيق,گەیشتن بە بینەرێکی فراوانتر لە دەرەوەی ئەپەکە
Ad boost,Ad boost,ترويج الإعلان,پڕۆمۆشنی ڕیکلام
Social media boost,Social media boost,ترويج على وسائل التواصل الاجتماعي,پڕۆمۆشنی سۆشیاڵ میدیا
Tax,Tax,الضريبة,باج
Total price,Total price,السعر الكلي,نرخی گشتی
Pay,Pay,الدفع,پارەدان
"Our advanced AI is working now to
check every detail and make sure
your car listing stands out.",Our advanced AI is working now to check every detail and make sure your car listing stands out.,يعمل الذكاء الاصطناعي المتطور لدينا الآن على مراجعة كل التفاصيل للتأكد من أن إعلان سيارتك مميز.,ئای پیشکەوتووەکەمان ئێستا هەموو وردەکارییەکان پشکنین دەکات بۆ ئەوەی ڕیکلامی سەیارەکەت جیاواز بێت.
"Sit back while we use the latest technology to find the most accurate
 information for your vehicle.",Sit back while we use the latest technology to find the most accurate information for your vehicle.,استرخِ بينما نستخدم أحدث التقنيات للعثور على أدق المعلومات حول سيارتك.,ئەرەم بگرە کاتێک نوێترین تەکنەلۆژیا بەکاردێنین بۆ دۆزینەوەی ڕاستترین زانیاری بۆ سەیارەکەت.
"Thanks for trusting Ako Sayara, your
listing will be ready with verified
details in just a moment.","Thanks for trusting Ako Sayara, your listing will be ready with verified details in just a moment.",شكرًا لثقتك في اكو سيارة، إعلانك سيكون جاهزًا مع تفاصيل موثوقة خلال لحظات.,سوپاس بۆ باوەڕت بە ئەکو سەیارە، ڕیکلامەکەت بە وردەکاری دڵنیا لە ماوەی کەمێکدا ئامادە دەبێت.
The ad was successfully Published,Your advert was published successfully and is awaiting approval.,لقد تم نشر إعلانك بنجاح وهو الآن في انتظار الموافقة.,ڕیکلامەکەت بە سەرکەوتوویی بڵاوکرایەوە و چاوەڕێی پەسەندکردنە.
You can see it in your ads Under review ,You can view it in your ads under review.,يمكنك مشاهدته في إعلاناتك قيد المراجعة.,دەتوانن لە ڕێکلامەکانتان کە لە ژێر پێداچوونەوەدان سەیری بکەن.
This is my car,This is my car,هذه سيارتي,ئەمە ئۆتۆمبیلەکەمە
This is not my car,This is not my car,هذه ليست سيارتي,ئەمە ئۆتۆمبێلی من نییە
American import,American import,وارد أمريكي,هاوردەکردن ئەمریکی
Japanese import,Japanese import,وارد ياباني,هاوردەکردن یابانی
Korean import,Korean import,وارد كوري,هاوردەکردن کۆری
European import,European import,وارد أوروبي,هاوردەکردن ئەوروپی
Chinese import,Chinese import,وارد صيني,هاوردەکردن چینی
Arab Gulf import,Arab Gulf import,وارد خليجي,هاوردەکردن خەلیجی
Other specs,Other import,وارد أخرى,هاوردەکردن کانی تر
Excellent with no defects,Excellent with no defects,ممتازة بدون عيوب,نایاب بەبێ کەموکوڕی
Parts,Parts,قطعة,پارچە
Part,Part,قطعة,پارچە
"Total repaint",Total repaint,معادة الطلاء,دووبارە بۆیاخکراو
fabric,Fabric,قماش,قوماش
leather,Leather,جلد,چەرم
Mix,Mix,نصف جلد,نیوە پێست
Suede,Suede,شامواه,سوید
Suede & leather,Suede and leather,شامواه وجلد طبيعي,سوید و چەرم
Bi Fuel,Bi Fuel,ثنائية الوقود,دوو سووتەمەنی
Diesel,Diesel,ديزل,گاز
Diesel Plug-in,Diesel Plug-in,ديزل كهربائي هجين,هایبرید گاز کارەبایی
Electric,Electric,كهربائي,كارەبایی
Petrol,Petrol,بنزين,بەنزین
Petrol Hybrid,Petrol Hybrid,بنزين هجين,بەنزینی هايبريد
Gas,Gas,غاز,غاز
Petrol Plug-in Hybrid,Petrol Plug-in Hybrid ,بنزين كهربائي هجين,بەنزین هایبرید کارەبایی
Unlisted,Unlisted,غير مدرج,بێ لیستە
Automatic,Automatic,أوتوماتيك,ئۆتۆماتیکی
Manual,Manual,عادي,عادی
Saloon,Saloon,صالون,صاڵۆن
Pickup,Pickup, بيك اب,پیكاب
MPV,MPV, متعددة الأغراض,فرە مەبەست
Van,Van,فان,ڤان
Hatchback,Hatchback,هاتشباك,هاچباک
SUV,SUV,دفع رباعي,دەبڵ ئەکسڵ
Estate,Estate, ستيشن,ستێشن 
Convertible,Convertible, مكشوفة,سەقف کەشف
Coupe,Coupe,كوبيه,کوپ
Choose,Select,اختر,هەڵبژێرە
,,,
,,,
,,,
,,,
,,,
Rent car,,,
,,,
Rent your car,Rent your car,أجر سيارتك ,ئۆتۆمبێلەکەت بە کرێ بده 
Search VIN number,Search VIN number,ابحث عن رقم الشاصي,بگەڕێ بەدوای ژمارەی شاسی
Proceed without VIN number,Proceed without VIN number,تابع بدون رقم الشاصي,بەردەوام بە بەبێ ژمارەی شاسی
Daily,Daily,يومياً,ڕۆژانە
weekly,Weekly,أسبوعياً,هەفتانە
Monthly,Monthly,شهرياً,مانگانە
,,,
,,,
Edit Ads,,,
,,,
Edit your ads,Edit your advert,عدل إعلانك,دەستکاری ڕێکلامەکەت بکە
The ad was successfully Edited,Your advert was successfully edited.,لقد تم تعديل إعلانك بنجاح.,ڕێکلامەکەت بە سەرکەوتوویی دەستکاری کرا.
You can see it in your ads ,You can see it in your adverts.,يمكنك رؤيته في إعلاناتك.,دەتوانن لە ڕێکلامەکانتان بیبینن.
Save change,Save changes,حفظ التغييرات,گۆڕانکارییەکان بپارێزە
,,,
,,,
,,,
,,,
,,,
My Ads,,,
,,,
Active,Live adverts,الاعلانات الحية,ڕێکلامە ڕاستەوخۆکان 
Under review,Under review,قيد المراجعة,لە ژێر پێداچوونەوەدایە
Soon to Expire,Expiring soon,تنتهي صلاحيته قريبا,بەم زووانە بەسەر دەچێت
Expired,Expired,انتهت صلاحيته,بەسەرچوو
sold,Sold,تم البيع,فڕۆشرا 
pending approval,Pending approval,قيد الموافقة,بە چاوەڕوانی پەسەندکردن
Edit,Edit,تعديل,دەستکاریکردن 
Rented,Rented,تم الإيجار,بە کرێ دراوە
Sold,Sold,تم البيع,فڕۆشرا 
Renew the ad,Renew ad,تجديد الإعلان,ڕیکلامەکە نوێ بکەرەوە
day left,Day left,يوم متبقي,ڕۆژێک ماوە
days left,Days left,أيام متبقية,چەند ڕۆژێک ماوە
Expire,Expired,انتهت صلاحيته,بەسەرچوو
Sold to,Sold to,تم بيعها إلى,فرۆشرا بە
Rented to,Rented to,تم تأجيرها إلى,بەکرێ گیراوە بۆ
someone out the Ako sayara,Outside Ako Sayara,خارج اكو سيارة,دەرەوە ئەکو سەیارە
This car was sold,This car was sold,تم بيع هذه السيارة,ئەم ئۆتۆمبێلە فرۆشرا
Where was the car sold?,Where was the car sold?,أين بيعت السيارة؟,ئۆتۆمبێلەکە لە کوێ فرۆشرا؟
Inside Ako Sayara,Inside Ako Sayara,داخل اكو سيارة,لەناو ئەکو سەیارە
Outside Ako Sayara,Outside Ako Sayara,خارج اكو سيارة,دەرەوە ئەکو سەیارە
This car was rented,This car was rented,تم تأجير هذه السيارة,ئەم ئۆتۆمبێلە بە کرێ گیراوە.
Where was the car rent?,Where was the car rented?,أين تم تأجير السيارة؟,ئۆتۆمبێلەکە لە کوێ بەکرێ گیراوە؟
Confirm,Confirm,تأكيد,دڵنیاکردنەوە
This car was successfully sold,This car was successfully sold,تم بيع هذه السيارة بنجاح,ئەم ئۆتۆمبێلە بە سەرکەوتوویی فرۆشرا
You can see the car in your sold ads,You can see it in your sold adverts,يمكنك رؤيتها في إعلاناتك المباعة,دەتوانن لە ڕیکلامە فرۆشراوەکانتان بیبینن
This car was sold to,This car was sold to,تم بيع هذه السيارة ل,ئەم ئۆتۆمبێلە بە
Choose the buyer,Select buyer,اختر المشتري,کڕیار هەڵبژێرە
Buyer’s name,Buyer’s name,اسم المشتري,ناوی کڕیار
This car was rented to,This car was rented to,تم تأجير هذه السيارة ل,ئەم ئۆتۆمبێلە بۆ
Confirm this is the buyer,Confirm this is the buyer,أكد أن هذا هو المشتري,دووپاتی بکەرەوە کە ئەمە کڕیارە
You do not have any ads,You do not have any ads,ليس لديك أي إعلانات,هیچ ڕیکلامێکتان نییە
,,,
,,,
,,,
Check my car,,,
,,,
Check your car,Check your car,تحقق من سيارتك,دڵنیابه لە ئۆتۆمبێلەکەت
You can write it or photograph it and we will take care of the rest.,"Write it or photograph it, and we will handle the rest.",اكتبه أو قم بتصويره، وسنتولى الباقي.,تایپی بکە یان وێنەی بگرە، ئەوەی تریش دەیکەین.
You must confirm your phone number to be able to Check your car.,Verify your phone number to check your car.,قم بتأكيد رقم هاتفك للتحقق من سيارتك.,ژمارەی تەلەفۆنەکەت پشتڕاست بکەرەوە بۆ پشکنینی ئۆتۆمبێلەکەت.
"Guaranteed secure transactions: Your payment is
processed with the utmost care and encryption for a worry-free experience. ",Guaranteed secure transactions: Your payment is processed with the utmost care and encryption for a worry-free experience.,ضمان سلامة تعاملات الدفع: تتم معالجة دفع أموالك بأقصى قدر من العناية والتشفير للحصول على تجربة خالية من القلق.,دڵنیابە لە سەلامەتی مامەڵەکانی پارەدان: پارەدانەکەت بە ئەوپەڕی وردبینی و کۆدکردنەوە پرۆسێس دەکرێت بۆ ئەزموونێکی بێ نیگەرانی.
Tax,Tax,الضريبة,باج
"Gain access to car Information confidently, ensuring a transparent and trusted transaction.","Gain access to car Information confidently, ensuring a transparent and trusted transaction.",يمكنك الوصول إلى معلومات السيارة بثقة، مما يضمن إجراء معاملة شفافة وموثوقة.,دەتوانیت بە متمانەوە دەستت بگات بە زانیارییەکانی ئۆتۆمبێل، دڵنیابوون لە مامەڵەیەکی شەفاف و متمانەپێکراو.
