Word-Expression,English,Arabic,Kurdish
"Your one time payment ensures access to extensive
 car information. If details are not found, rest easy,
 no charge will be applied, prioritizing your
 confidence in our service","Your one time payment ensures access to extensive car information. If details are not found, rest easy, no charge will be applied, prioritizing your confidence in our service",يضمن دفعك لمرة واحدة الوصول إلى معلومات شاملة عن السيارة. إذا لم يتم العثور على التفاصيل، فلا تقلق، فلن يتم تطبيق أي رسوم دفع، مع إعطاء الأولوية لثقتك في خدمتنا,پارەدانت بۆ یەک جار گەرەنتی گەیشتنت بە گشت زانیارییەکانی ئۆتۆمبێلەکە دەدات . ئەگەر زانیارییەکان نەدۆزرانەوە ، نیگەران مەبە ، هیچ بڕە پێدانێکی پارەو لەسەر هەژمار ناکرێت ، لەگەڵ پێدانی مافی تۆ بە متمانە کردن بە خزمەتگوزارییەکانمان.
Basic details,Basic details,التفاصيل الأساسية,وردەکارییە بنەڕەتییەکان
Exterior color,Exterior colour,اللون الخارجي,ڕەنگی دەرەوە
Standard seating,Standard seating,أماكن جلوس عادية,شوێنی دانیشتنی ئاسایی
Tiers,Tires,الإطارات,تایەی ئۆتۆمبێل
Gearbox,Gearbox,ناقل الحركة,گێڕ 
Interior trim,Interior trim,المواصفات الداخلية,تایبەتمەندییە ناوخۆییەکان
Drive line,Drive line,خط القيادة,هێڵی لێخوڕین
Destination charge,Destination charge,رسوم الوجهة,پارەی شوێنی مەبەست
Powertrain distance,Powertrain distance,مسافة توليد القوة,مەودای بەرهەمهێنانی کارەبا
Powertrain duration,Powertrain duration,مدة توليد القوة,ماوەی بەرهەمهێنانی کارەبا
Basic Distance,Basic Distance,المسافة الأساسية,مەودای بنەڕەتی
Basic duration,Basic duration,المدة الأساسية,ماوەی بنەڕەتی
Rust distance,Rust distance,مسافة الصدأ,مەودای ژەنگ
Curb weight Automatic,Curb weight Automatic,الوزن الفارغ اوتوماتيكي,کێشی تارە ئۆتۆماتیکی دەبێت
Highway mileage,Highway mileage,عدد الكيلومترات في الطريق السريع,میلەکانی ڕێگاوبان
Curb weight Automatic,Turning diameter,قطر الدوران,تیرەی خولانەوەی
Turning diameter,Turning diameter,قطر الدوران,تیرەی خولانەوەی
City mileage,City mileage,عدد الكيلومترات داخل المدينة,ژمارەی کیلۆمەترەکانی ناو شار
Engine ,Engine size ,حجم المحرك,قەبارەی بزوێنەر
Dimensions & capacity,Dimensions and capacity,الأبعاد والسعة,ڕەهەند و توانا
Ground clearance,Ground clearance,الخلوص الأرضي للسيارة,هێڵی زەوی ئۆتۆمبێلەکە
Rear shoulder tie downs,Rear Shoulder tie downs,أحزمة ربط الكتف الخلفية للسيارة,شانەکانی دواوەی ئۆتۆمبێل
Front shoulder room,Front shoulder room,مساحة الكتف الأمامية,ژووری پێشەوەی شان
Front headroom,Front headroom,مساحة الرأس الأمامية,شوێنی سەری پێشەوە
Front leg room,Front leg room,مساحة للساقين الأمامية,ژووری قاچی پێشەوە
Fuel tank  ,Fuel tank,خزان الوقود,تانکی سووتەمەنی
Cargo volume,Cargo volume,حجم صندوق البضائع,قەبارەی سندوقی بارهەڵگر
Rear hip room,Rear hip room,غرفة الورك الخلفية,ژووری پشتەوەی شان
Rear leg room,Rear leg room,المساحة الخلفية للأرجل,شوێنی قاچی دواوە
Rear headroom,Rear headroom,مساحة الرأس الخلفية,شوێنی سەری دواوە
Suspension & brakes,Suspensions & brakes,أنظمة التعليق والفرامل,هەڵپەساردن و سوکان
Front brake,Front brake,الفرامل الأمامية,بريكى پێشەوە
Rear brake type,Rear brake type,نوع الفرامل الخلفية,جۆری بريكى دواوە
Anti break system,Anti break system,نظام منع انغلاق المكابح,ABS
Rear spring type,Rear spring type,نوع النابض الخلفية,جۆری بەهاری پشتەوە
Rear suspension,Rear suspension,نظام التعليق الخلفي,سیستەمی هەڵپەساردنی دواوە
Steering type,Steering type,نوع المقود,جۆری سوكان
Front spring type,Front spring type,نوع النابض الأمامي,جۆری بەهاری پێشەوە
Front suspension,Front suspension,نظام التعليق الأمامي,هەڵپەساردنی پێشەوە
Production & invoice,Production & invoice,الإنتاج والفاتورة,بەرهەمهێنان و فاکتورە
Invoice,Invoice,الفاتورة,پسوولە
Made in ,Made in,صنع في,دروستکراوە لە
Trim,Model variant,الفئة,جۆر
Production seq number,Production seq number,رقم تسلسل الإنتاج,ژمارەی زنجیرەی بەرهەمهێنان
There was no pictures of your car,"Sorry, we couldn't find your car with the VIN number provided.",عذرًا، لم نتمكن من العثور على سيارتك التي تحتوي على رقم الشاصي المقدم,ببورە، نەمانتوانی ئۆتۆمبێلەکەت بدۆزینەوە بەو ژمارەیەی شاسی کە پێشکەش کراوە
No money will be deducted from you,No charge was deducted from your card,لم يتم خصم أي رسوم من بطاقتك,هیچ پارەیەک لە کارتەکەت لێ نەبڕدرا
Chassis number (VIN),Chassis number (VIN),رقم الشاصي ,ژمارەی شاسی
Make,Make,الشركة,کۆمپانیا
Price,Price,السعر,نرخ
Year,Year,السنة,ساڵ
Depth,Depth,العمق,قووڵی
Model,Model,الموديل,مۆدێل
Body type,Body type,نوع الهيكل,جۆری بۆدی
Width,Width,العرض,پانی
4 wheel drive / Axle wheel drive,4 wheel drive / Axle wheel drive,الدفع الرباعي / الدفع بالعجلات المحورية,دەبڵ ئەکسیل /ئەکسیل ویل درایڤ
Height,Height,الارتفاع,بەرزی
Length,Length,الطول,دڕێژەی 
Pickup truck bed liner,Pickup truck bed liner,صافي صندوق البضائع,قەبارەی سەندوق
Cd player,Cd player,مشغل سي دي,سی دی پلەیەر
ABS breaks,ABS breaks,الفرامل ABS,برێک ABS
AM/FM radio,AM/FM radio,راديو ايه ام اف ام,ڕادیۆ AM FM
Cd changer,Cd changer,مغير الأقراص المضغوطة,گۆڕینی سی دی
Drive line,Drive line,خط القيادة,هێڵی لێخوڕین
DVD player,DVD player,مشغل دي في دي,دی ڤی دی پلەیەر
Fog lights,Fog lights,مصابيح الضباب,گڵۆپی تەم
Rear wiper,Rear wiper,ماسحة خلفية,فڵچە
Skid plate,Skid plate,لوحة انزلاقية,پلێتی خلیسکان
Subwoofer,Subwoofer,مضخم صوت,ئێمپلیفایەر
Track rear,Track rear,المسار الخلفي,ڕێڕەوی پشتەوە
Wheelbase,Wheelbase,قاعدة العجلات,ویلبەیس
Tachometer,Tachometer,مقياس سرعة الدوران,تاکۆمێتەر
Track front,Track front,المسار الأمامي,ڕێڕەوی پێشەوە
Alloy wheels,Alloy wheels,عجلات معدنية,تایەی کانزایی
Cargo length,Cargo length,طول صندوق البضائع,درێژی سندوقی بارهەڵگر
First aid kit,First aid kit,عدة الإسعافات الأولية,بوخچەی فریاکەوتنە سەرەتاییەکان
Front air dam,Front air dam,السد الهوائي الأمامي,بەنداوی هەوای پێشەوە
Leather seats,Leather seats,مقاعد جلدية,کورسی چەرم
Maximum GVWR,Maximum GVWR,أقصى GVWR,بەرزترین GVWR
Rear spoiler,Rear spoiler,سبويلر خلفي,سپۆیلەری دواوە
Steel wheels,Steel wheels,عجلات فولاذية,ویلەکانی ستيڵ 
Width at wall,Width at wall,العرض على الحائط,نمایش لەسەر دیوارەکە
Chrome wheels,Chrome wheels,عجلات كروم,ویلەکانی کرۆم
Driver airbag,Driver airbag,الكيس الهوائي للسائق,ئەیرباگی شۆفێر
Front hip room,Front hip room,مساحة الورك الأمامية,شوێنی پێشەوەی شان
Keyless entry,Keyless entry,الدخول بدون مفتاح,چوونە ژوورەوەی بێ کلیل
Power sunroof,Power sunroof,فتحة سقف كهربائية,سەقفی خۆری کارەبایی
Power windows,Power windows,نوافذ كهربائية,پەنجەرەی کارەبایی
Removable Top,Removable Top,الجزء العلوي القابل للإزالة,بەشی سەرەوەی کە دەتوانرێت لاببرێت
Run flat tires,Run flat tires,تشغيل الإطارات المثقوبة,ئیشکردنی تایەی تەخت
Rust duration,Rust duration,مدة الصدأ,ماوەی ژەنگاوی بوون
Splash guards,Splash guards,حراس دفقة,پاسەوانانی سپلاش
Standard GVWR,Standard GVWR,GVWR القياسية,ستاندارد GVWR
Tilt Steering,Tilt Steering,إماله المقود,سوكانه كه مەیل بکە
Trip Computer,Trip Computer,كمبيوتر الرحلة,کۆمپیوتەری گەشت
Cruise control,Cruise control,مثبت السرعة,گەشتی دەریایی
Manual sunroof,Manual sunroof,فتحة سقف يدوية,سەقفی دەستی دەستی
Maximum towing,Maximum towing,الحد الأقصى للسحب,زۆرترین کشانەوە
Navigation aid,Navigation aid,مساعدة الملاحة,یارمەتی گەشتکردن
Power trunk lid,Power trunk lid,غطاء صندوق الطاقة,کەڤەری پاوەر بۆکس
Running boards,Running boards,لوحات الكهرباء,پانێڵەکانی کارەبا
Cargo area cover,Cargo area cover,غطاء منطقة صندوق الشحن,ناوچەی سندوقی بارهەڵگرەکە داپۆشە
Cassette player,Cassette player,مشغل كاسيت,ئامێری کاسێت
Interval wipers,Interval wipers,مساحات الفاصلة,بۆشایی کۆما
Maximum payload,Maximum payload,الحمولة القصوى,زۆرترین بار
Power door locks,Power door locks,أقفال أبواب كهربائية,قوفڵی دەرگای کارەبایی
Remote ignition,Remote ignition,تشغيل عن بعد,کارکردن لە دوورەوە
Standard towing,Standard towing,السحب قياسي,کشانەوەی ستاندارد
Air conditioning,Air conditioning,مكيف الهواء,تبريد
Deep tinted glass,Deep tinted glass,زجاج ملون عميق,شووشەی ڕەنگاوڕەنگی قووڵ
Front cooled seat,Front cooled seat,مقعد أمامي مبرد,کوشنی پێشەوەی سارد کەرەوە
Front heated seat,Front heated seat,مقعد أمامي مدفأ,کوشنی پێشەوەی گەرم کەرەوە
Front Side airbag,Front Side airbag,الكيس الهوائي جانبي أمامي,کیسی هەوا پێشەوەیە
Genuine wood trim,Genuine wood trim,زخرفة خشبية أصلية,دیکۆراتی دار ئەسڵی
Optional seating,Optional seating,مقاعد اختيارية,کورسی ئیختیاری
Passenger Airbag,Passenger Airbag,الكيس الهوائي للركاب,کیسی هەوای سەرنشین
Passenger volume,Passenger volume,سعة الركاب,توانای سەرنشین
Standard payload,Standard payload,الحمولة القياسية,باری سوودبەخشی ستاندارد
Traction control,Traction control,التحكم في الجر,کۆنترۆڵی ڕاکێشان
Curb weight manual,Curb weight manual,دليل الوزن الصافي,ڕێنمایی کێشی تۆڕ
Telematic System,Telematic System,نظام عن بعد,سیستەمی دوور
Tow hitch receiver,Tow hitch receiver,جهاز استقبال وصلة السحب,وەرگری ڕاکێشان
Vehicle anti theft,Vehicle anti theft,مكافحة سرقة السيارة,دژە دزینی ئۆتۆمبێل
Width at wheel well,Width at wheel well,العرض في عجلة جيدا,نمایشەکە بە پەلەیەکی باشدایە
Cargo area tie down,Cargo area tie down,منطقة صندوق الحمولة مربوطة لأسفل,ناوچەی سندوقی بارهەڵگرەکە بەستراوەتەوە بۆ خوارەوە
Full size spare tire,Full size spare tire,إطار احتياطي كامل الحجم,تایەی یەدەگی تەواو قەبارە
Rain sensing wipers,Rain sensing wipers,ماسحات استشعار المطر,ئامێری پاککەرەوەی هەستکردن بە باران
Rear window defogger,Rear window defogger,مزيل ضباب الزجاج الخلفي,تەمشکێنی پەنجەرەی دواوە
Tilt steering column,Tilt steering column,إمالة عمود القيادة,مەیلکردنی ستوونی فەرمان
Automatic headlights,Automatic headlights,المصابيح الأمامية أوتوماتيكية,گڵۆپی پێشەوەی ئۆتۆماتیکی
Front split bench seat,Front split bench seat,مقعد أمامي مقسم,کورسی پێشەوەی دابەشکراو
Heated steering wheel,Heated steering wheel,عجلة قيادة مُدفأة,سوکانێکی گەرم کەرەوە
Locking differential,Locking differential,قفل التفاضلية,جیاوازی قفڵکردن
Pickup truck bed liner,Pickup truck bed liner,بطانة سرير شاحنة بيك اب,لاینەری جێگەی نوستن لە ئۆتۆمبێلی پیکاپ
Second row heated seat,Second row heated seat,مقعد الصف الثاني مدفأ,کورسی ڕیزی دووەم گەرم دەکرێت
Second row side airbag,Second row side airbag,كيس هوائي جانبي للصف الثاني,ئەیرباگی لایەنی ڕیزی دووەم
Tire pressure monitor,Tire pressure monitor,مراقبة ضغط الإطارات,چاودێریکردنی پەستانی تایەی ئۆتۆمبێل
Trunk anti trap device,Trunk anti trap device,جهاز مضاد للفخ,ئامێری دژە تەڵە
Adjustable foot pedals,Adjustable foot pedals,دواسات القدم قابلة للتعديل,پێداڵی پێی ڕێکدەخرێت
Child safety door locks,Child safety door locks,أقفال أبواب لسلامة الأطفال,قوفڵی دەرگای سەلامەتی منداڵان
Daytime running lights,Daytime running lights,أضواء التشغيل النهارية,گڵۆپی ڕۆژانە
Electronic parking aid,Electronic parking aid,المساعد الإلكتروني في ركن السيارة,یاریدەدەری وەستانی ئۆتۆمبێلی ئەلیکترۆنی
Front power memory seat,Front power memory seat,مقعد أمامي مزود بذاكرة كهربائية,کوشنی پێشەوە بە بیرگەی کارەبایی
Heated exterior mirror,Heated exterior mirror,مرآة خارجية مدفأة,ئاوێنەیەکی دەرەوەی گەرم کەرەوە
leather steering wheel,leather steering wheel,عجلة قيادة جلدية,سوکانێکی چەرم
Second row folding seat,Second row folding seat,مقعد الصف الثاني قابل للطي,کوشنی ڕیزی دووەم دەتوانرێت بچەمێنرێتەوە
Automatic load leveling,Automatic load leveling,التسوية التلقائية للحمل,ئاستکردنی بار بە شێوەیەکی ئۆتۆماتیکی
Side head curtain airbag,Side head curtain airbag,كيس هوائي جانبي للرأس,کیسی هەوای سەری لایەنی
Third row removable seat,Third row removable seat,مقعد الصف الثالث قابل للإزالة,کوشنی ڕیزی سێیەم دەتوانرێت لاببرێ
Second row removable seat,Second row removable seat,مقعد الصف الثاني قابل للإزالة,کوشنی ڕیزی دووەم دەتوانرێت لاببرێ
Second row sound controls,Second row sound controls,عناصر التحكم بالصوت في الصف الثاني,کۆنتڕۆڵی دەنگ لە ڕیزی دووەمدا
Front power lumbar support,Front power lumbar support,دعم أسفل الظهر الأمامي بالطاقة للسيارة,پشتگیری پێشەوەی کەمەر بە کارەبا بۆ ئۆتۆمبێل
Limited slip differential,Limited slip differential,فارق الانزلاق المحدود,جیاوازی سنووردار لە خلیسکان
Load bearing exterior rack,Load bearing exterior rack,حامل خارجي يحمل الحمل,ستاندێکی دەرەکی بارەکە دەگرێت
Power sliding side van door,Power sliding side van door,باب الشاحنة الجانبي المنزلق كهربائيًا,دەرگای بارهەڵگری لایەنی خلیسکێنەی کارەبایی
Voice activated telephone,Voice activated telephone,هاتف يعمل بالصوت,مۆبایل بە دەنگ کاردەکات
Pickup truck cargo box light,Pickup truck cargo box light,ضوء صندوق شحن شاحنة صغيرة,گڵۆپی سندوقی بارهەڵگری مینی بارهەڵگر
Telescopic steering column,Telescopic steering column,عمود التوجيه التلسكوبي,ستوونی فەرمان بە تەلەسکۆپی
Towing preparation package,Towing preparation package,حزمة التحضير للسحب,پاکێجی ئامادەکاری بکێشە
Electronic brake assistance,Electronic brake assistance,مساعدة الفرامل الإلكترونية,یارمەتی بريكى ئەلیکترۆنی
Locking pickup truck tailgate,Locking pickup truck tailgate,قفل الباب الخلفي للشاحنة,قوفڵی دەرگای دواوەی بارهەڵگر
Glass rear window on convertible,Glass rear window on convertible,زجاج النافذة الخلفية في السيارة المكشوفة,شووشەی پەنجەرەی دواوەی ئۆتۆمبێلێکی گۆڕاو (سەقف کەشف)
Sliding rear pickup truck Window,Sliding rear pickup truck Window,نافذة شاحنة بيك اب خلفية منزلقة,پەنجەرەی پیکاپەکەی دواوەی خلیسکێنە
Steering wheel mounted controls,Steering wheel mounted controls,أدوات التحكم المثبتة على عجلة القيادة,کۆنتڕۆڵەکانی جێگیرکراوی سوکان
Wind deflector for convertible,Wind deflector for convertible,عاكس الرياح للتحويل,ئامێری لابردنی بای گۆڕاو
Power adjustable exterior mirror,Power adjustable exterior mirror,مرآة خارجية قابلة للتعديل كهربائياً,ئاوێنەیەکی دەرەوەی بە کارەبا ڕێکدەخرێت
Vehicle stability control system,Vehicle stability control system,نظام التحكم بثبات السيارة,سیستەمی کۆنترۆڵکردنی سەقامگیری ئۆتۆمبێل
Driver multi adjustable power seat,Driver multi adjustable power seat,مقعد السائق الكهربائي متعدد الضبط,کورسی شۆفێری کارەبایی فرە ڕێکدەخرێت
High intensity discharge headlights,High intensity discharge headlights,مصابيح أمامية ذات تفريغ عالي الكثافة,گڵۆپی پێشەوەی دەرچوون بە چڕی بەرز
Front Side airbag with head protection,Front Side airbag with head protection,كيس هوائي أمامي جانبي مع حماية للرأس,ئەیرباگی لای پێشەوە لەگەڵ پاراستنی سەر
Passenger multi adjustable power seat,Passenger multi adjustable power seat,مقعد كهربائي متعدد قابل للتعديل للركاب,کورسی سەرنشینی کارەبایی فرە ڕێکدەخرێت
Second row multi adjustable power seat,Second row multi adjustable power seat,مقاعد الصف الثاني قابلة للتعديل كهربائياً,کورسییەکانی ڕیزی دووەم بە شێوەیەکی کارەبایی ڕێکدەخرێن
Electrochromic exterior rearview mirror,Electrochromic exterior rearview mirror,مرآة الرؤية الخلفية الخارجية الكهروكرومية,ئاوێنەیەکی دواوەی دەرەوەی کارەبایی
Electrochromic interior rearview mirror,Electrochromic interior rearview mirror,مرآة الرؤية الخلفية الداخلية الكهروكروميك,ئاوێنەیەکی دواوەی ناوەوەی کارەبایی
Second row side airbag with head protection,Second row side airbag with head protection,كيس هوائي جانبي للصف الثاني مع حماية للرأس,ئەیرباگی لایەنی ڕیزی دووەم لەگەڵ پاراستنی سەر
Separate driver front passenger climate controls,Separate driver front passenger climate controls,تحكم منفصل بالمناخ للسائق والراكب الأمامي,کۆنترۆڵی کەشوهەوای جیاواز بۆ شۆفێر و سەرنشینی پێشەوە
gallon,gallon,جالون,گاڵۆن
in.,in.,بوصة,ئینج
ft.,ft.,قدم,قاچ
miles,miles,اميال,میل
Bisque Leather Interior | Light Gray Leather Interior,Bisque Leather Interior | Light Gray Leather Interior,تصميم داخلي من الجلد البيسك | جلد داخلي باللون الرمادي الفاتح,دیزاینی ناوەوەی چەرمێکی بیسک ناوەوەی چەرمێکی خۆڵەمێشی سووک
Unlimited mile,Unlimited mile,عدد غير محدود من الأميال,
month,month,شهر,مانگ
Alien 2 | Bright Silver | Clear White | Shadow Black,Alien 2 | Bright Silver | Clear White | Shadow Black,الغريبة 2 | فضي لامع | كلير وايت | الظل الأسود,ئەلیەن ٢ | زیوی بریقەدار | سپی ڕوون | سێبەر ڕەش
Disc,Disc,قرص,سى دى
Semi,Semi,نصف,نیو
Wheel ABS,Wheel ABS,نظام منع انغلاق المكابح (ABS) للعجلات,سیستەمی ئیستۆپی دژە قفڵ (ABS) بۆ ویلەکان
Coil,Coil,ملف,کویل
Speed Manual,Speed Manual, سرعات يدوي,خێراییەکانی دەستی
"Black, cloth","Black, cloth",أسود، قماش,ڕەش، قوماش
Speed Automatic,Speed Automatic, سرعات اوتوماتيك,خێراییە ئۆتۆماتیکیەکان
Saloon,Saloon,صالون,صاڵۆن
Estate,Estate, ستيشن,ستێشن 
SUV,SUV,دفع رباعي,دەبڵ ئەکسڵ
MPV,MPV, متعددة الأغراض,فرە مەبەست
Pickup,Pickup, بيك اب,پیكاب
Hatchback,Hatchback,هاتشباك,هاچباک
Coupe,Coupe,كوبيه,کوپ
Convertible,Convertible, مكشوفة,گۆڕاو 
SEDAN,Saloon,صالون,صاڵۆن
WAGON,Estate, ستيشن,ستێشن 
SPORTS VAN,SUV,دفع رباعي,دەبڵ ئەکسڵ
SPORT UTILITY,MPV, متعددة الأغراض,فرە مەبەست
Pickup Truck,Pickup, بيك اب,پیكاب
Minivan,MPV, متعددة الأغراض,فرە مەبەست
Crossover,SUV,دفع رباعي,دەبڵ ئەکسڵ
Hatchback,Hatchback,هاتشباك,هاچباک
SUV,SUV,دفع رباعي,دەبڵ ئەکسڵ
Saloon,Saloon,صالون,صاڵۆن
Estate,Estate, ستيشن,ستێشن 
Coupe,Coupe,كوبيه,کوپ
Convertible,Convertible, مكشوفة,گۆڕاو 
MPV,MPV, متعددة الأغراض,فرە مەبەست
Pickup,Pickup, بيك اب,پیكاب
Station Wagon,MPV, متعددة الأغراض,فرە مەبەست
Crossover,MPV, متعددة الأغراض,فرە مەبەست
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
profile,,,
,,,
Change language,Change language,تغيير اللغة,زمانەکە بگۆڕە 
Appearance,Appearance,المظهر,ڕووخسار
Push notifications,Push notifications,إشعارات,ئاگادارییەکان
Guides,Guides,إرشادات,ڕێنماییەکان
FAQs,FAQs,الأسئلة الشائعة, پرسیارە زۆرەکان
Term & Conditions,Terms and Conditions,الأحكام والشروط,مەرج و ڕێساکان
Privacy policy,Privacy policy,سياسة الخصوصية,سیاسەتی تایبەتمەندییەتی
Settings,Settings,الإعدادات,ڕێکخستنەکان
About,About,حول,دەربارەی
Other,Other,أخرى,ئی تر
Transaction,Transactions,النشاط التجاري ,چالاکییە بازرگانییەکان
Performance,Performance,الأداء,ئەدا
Check my car,Check your car,تحقق من سيارتك,دڵنیابه لە ئۆتۆمبێلەکەت
Personal information,Personal information,المعلومات الشخصية,زانیاری کەسی
My profile,My profile,ملفي الشخصي,پرۆفایڵەکەم
Logout,Log out,تسجيل خروج,چوونەدەرەوە
Delete account,Delete account,حذف الحساب,ئەکاونتەکە بسڕەوە
Viewing rate,Viewing rate,معدل المشاهدة,ڕێژەی بینین
Product views,Ads views,مشاهدات الإعلانات,بینینی ڕێکلامەکان
Profile views,Profile views,مشاهدات الحساب,بینینی ئەکاونتەکان
Most viewed,Most viewed,الأكثر مشاهدة,زۆرترین بینراو
Transaction,Transactions,النشاط التجاري ,چالاکییە بازرگانییەکان
monthly,Monthly,شهرياً,مانگانە
weekly,Weekly,أسبوعياً,هەفتانە
daily,Daily,يومياً,ڕۆژانە
Invoice ID,INVOICE ID,رقم الفاتورة,ژمارەی وەصڵ
View,View,عرض,ئۆفەرێک
status,STATUS,الحالة,بارودۆخ
price,PRICE,السعر,نرخەکەی
male,Male,ذكر,نێرینە
female,Female,أنثى,مێینە
Save change,Save changes,حفظ التغييرات,گۆڕانکارییەکان بپارێزە
Main information,Main information,المعلومات الرئيسية,زانیاری سەرەکی
Documents,KYC Documents,ملفات اعرف عميلك (KYC),فایلەکانی کڕیارەکەت بناسە (KYC)
change,Change,تغيير,گۆڕانکاری
Pending,Pending aprroval,في انتظار الموافقة,چاوەڕوانی پەسەندکردنە
Approval,Approved,موافق عليه,پەسەندکراو
Your KYC has been rejected,Your KYC has been rejected,لقد تم رفض ملفات اعرف عميلك (KYC),فایلەکانی کڕیارەکەت بناسە (KYC) ڕەفز بوو.
Dark,Dark,داكن,تاریک
Confirm logout,Confirm log out,تأكيد تسجيل الخروج,دەرچوون پشتڕاست بکەرەوە
You are about to log out of your account.,Are you sure you want to log out,هل أنت متأكد أنك تريد تسجيل الخروج,دڵنیای کە دەتەوێت بچیتە دەرەوە؟
Contact us,Contact us ,اتصل بنا,پەیوەندیمان پێوە بکەن
Delete account,Delete account,حذف الحساب,ئەکاونتەکە بسڕەوە
Name,Name,الاسم,ناو
Day of birth,Date of birth,تاريخ الميلاد,بەرواری لەدایکبوون
select a reason,Select a reason,اختر السبب,هۆکارەکە هەڵبژێرە
your massage,Your message,رسالتك,پەیامەکەت
"This will be a permanent action! Are you
sure you want to close your account?",This will be a permanent action! Are you sure you want to close your account?,هذا سيكون عملاً دائماً! هل أنت متأكد أنك تريد إغلاق حسابك؟,ئەمە هەمیشە کاردەکات!  ئایا دڵنیای کە دەتەوێت ئەکاونتەکەت دابخەیت؟
Delete my account,Delete my account,حذف حسابي,ئەکاونتەکەم بسڕەوە
Disinterest or inactivity,Disinterest or inactivity,عدم الاهتمام أو عدم النشاط,نەبوونی ئارەزووی یان ناچالاکی
Dissatisfaction with the services,Dissatisfaction with the services,عدم الرضا عن الخدمات,ناڕازیبوون لە خزمەتگوزارییەکان
Switching to competing services,Switching to competing services,التحول إلى الخدمات المنافسة,گۆڕینی بۆ خزمەتگوزارییە کێبڕکێکارەکان
Fraudulent activity,Fraudulent activity,نشاط احتيالي,چالاکیی ساختەکاری
Discontinuation of services,Discontinuation of services,توقف الخدمات,وەستانی خزمەتگوزارییەکان
Privacy concerns,Privacy concerns,المخاوف المتعلقة بالخصوصية,نیگەرانییەکانی پاراستنی نهێنی
Security concerns,Security concerns,مخاوف أمنية,نیگەرانییە ئەمنییەکان
Payment issues,Payment issues,مشاكل تتعلق بالدفع,پرسی پارەدان
To delete your account a one time password has been sent to your whatsApp.,"To delete your account, a one time password has been sent to your WhatsApp",لحذف حسابك، تم إرسال كلمة مرور لمرة واحدة على الواتساب الخاص بك,بۆ سڕینەوەی ئەکاونتەکەت، پاسۆردێکی یەکجارەکی بۆ واتسئەپەکەت نێردراوە.
Support,Support,الدعم,پشتیوانیکردن
Enquiring about something,Enquiring about something,الاستفسار عن شيئ,پرسیار لە شتێک بکە
Enquire now,Enquire now,استفسر الآن,ئێستا پرسیار بکە
You do not have any request,You do not have any transactions,ليس لديك أي معاملات مالية,هیچ مامەڵەیەکی داراییت نییە.
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Messages,,,
,,,
typing,Typing,جاري الكتابة,نووسین
Draft,Draft,مسودة,ڕەشنووس
All,All,الكل,گشت
Unread,Unread,غير مقروءة,نەخوێنراوەتەوە
Search in Messages,Search messages,البحث في الرسائل,لە نامەکاندا بگەڕێ
Select the attachment,Select attachment,حدد المرفق,هاوپێچ هەڵبژێرە
Camera,Camera,كاميرا,کامێرا
profile,Account,الحساب ,ئەکاونتەکە
My Location,Location,الموقع,شوێن
Document,Document,مستند,بەڵگەنامە
Record,Record,تسجيل,تۆمارکردن
Send Your Live Location,Share your live location,شارك موقعك المباشر,شوێنی لایڤەکەت بڵاوبکەرەوە
Nearby Places,Nearby places,الأماكن القريبة,شوێنەکانی نزیک
Send Your Current Location,Send your current location,أرسل موقعك الحالي,شوێنی ئێستات بنێرە
Send,Send,إرسال,ناردن
Message,Write a message,اكتب رسالة,پەیامێک بنووسە
Write a caption ,Write a message,اكتب رسالة,پەیامێک بنووسە
Are you sure you want to delete this conversation?,Are you sure you want to delete this message?,هل أنت متأكد أنك تريد حذف هذه الرسالة؟,دڵنیای کە دەتەوێت ئەم پەیامە بسڕیتەوە؟
The operation was successful,The message was deleted successfully,تم حذف الرسالة بنجاح,پەیامەکە بە سەرکەوتوویی سڕاوەتەوە
The conversation was deleted,,,
Today,Today,اليوم,ئەمڕۆ
Yesterday,Yesterday,أمس,دوێنێ
Unread massage,Unread message,رسالة غير مقروءة,پەیامی نەخوێندراو
You do not have any messages,You do not have any messages,ليس لديك أي رسالة,هیچ پەیامێکتان نییە
1 Month ago,1 Month ago,منذ شهر,1 مانگ پێش ئێستا
Year ago,Year ago,منذ سنة,ساڵێک لەمەوبەر
Years ago,Years ago,منذ سنوات,ساڵانێک لەمەوبەر